User,Date,ID,Likes,Replies,Retweets,Source of Tweet,User Tweet Count,User Follower Count,Automated User,Verified User,Language,Tweet,Conversation,rootId
ebuka_ebere,2021-08-27 19:16:42+00:00,1431334879850110989,2,0,0,Twitter for Android,3388,142,,0,en,@ShibainuCoin SHIBA INU WILL SURPRISE EACH AND EVERYONE OF US ALL YOU NEED TO DO IS TO HOLD AND TELL OTHERS TO DO WHAT ??? TO JOIN US SHIB INU TO THE MOON 🌝,"['Shiba Inu: $SHIB and #Dogecoin consolidating!  Are you ready to buy the dip?  https://t.co/SUS0era4Zp', 'Ebere Ebuka Leotina: @ShibainuCoin SHIBA INU WILL SURPRISE EACH AND EVERYONE OF US ALL YOU NEED TO DO IS TO HOLD AND TELL OTHERS TO DO WHAT ??? TO JOIN US SHIB INU TO THE MOON 🌝']",1430908395914072078
H4r00nOfficial,2021-08-27 13:58:11+00:00,1431254720300130316,0,0,0,Twitter for Android,148,3,,0,en,@ShibainuCoin Not wasting even £0.01 on $shib but #doge is possiblity and much better then crappy $shib.,"['Shiba Inu: $SHIB and #Dogecoin consolidating!  Are you ready to buy the dip?  https://t.co/SUS0era4Zp', 'Haroon: @ShibainuCoin Not wasting even £0.01 on $shib but #doge is possiblity and much better then crappy $shib.']",1430908395914072078
PDianto80,2021-08-27 04:16:54+00:00,1431108434909282304,0,0,0,Twitter for Android,1601,61,,0,en,@ShibainuCoin give us the trust to always hold the shib,"['Shiba Inu: $SHIB and #Dogecoin consolidating!  Are you ready to buy the dip?  https://t.co/SUS0era4Zp', 'papudion80: @ShibainuCoin give us the trust to always hold the shib']",1430908395914072078
AbbasAbraham2,2021-08-27 00:24:07+00:00,1431049854340542464,0,0,0,Twitter for iPhone,22099,198,,0,en,@ShibainuCoin This is the biggest bullshit shib is dead,"['Shiba Inu: $SHIB and #Dogecoin consolidating!  Are you ready to buy the dip?  https://t.co/SUS0era4Zp', 'Abbas Abraham: @ShibainuCoin This is the biggest bullshit shib is dead']",1430908395914072078
justhestart,2021-08-26 22:57:12+00:00,1431027980269023237,2,0,0,Twitter for iPhone,5224,130,,0,en,@ShibainuCoin We #shib in a dip for the last 3 months if you didn’t notice 😂 time to wake up dev. Team and listen to the shib army we need a burn asap 👍🙌💎🙌,"['Shiba Inu: $SHIB and #Dogecoin consolidating!  Are you ready to buy the dip?  https://t.co/SUS0era4Zp', 'DOG ❤️ 🦑 GROW: @ShibainuCoin We #shib in a dip for the last 3 months if you didn’t notice 😂 time to wake up dev. Team and listen to the shib army we need a burn asap 👍🙌💎🙌']",1430908395914072078
keresztes_eugen,2021-08-26 16:15:12+00:00,1430926815808393221,0,0,0,Twitter for Android,835,39,,0,en,@ShibainuCoin I'm ready to selly shib,"['Shiba Inu: $SHIB and #Dogecoin consolidating!  Are you ready to buy the dip?  https://t.co/SUS0era4Zp', ""Eugen Keresztes: @ShibainuCoin I'm ready to selly shib""]",1430908395914072078
Umut42302228,2021-08-26 15:20:16+00:00,1430912991625564170,4,0,0,Twitter Web App,652,28,,0,en,"@ShibainuCoin shib never came out of the bottom anyway if I had bought btt and holo it would have done 3x , a stupid coin","['Shiba Inu: $SHIB and #Dogecoin consolidating!  Are you ready to buy the dip?  https://t.co/SUS0era4Zp', 'Umut: @ShibainuCoin shib never came out of the bottom anyway if I had bought btt and holo it would have done 3x , a stupid coin']",1430908395914072078
DebeljakMiso,2021-08-26 15:06:05+00:00,1430909419961806852,14,3,0,Twitter for Android,2580,49,,0,en,@ShibainuCoin No not buying SHIB no more just waiting to sell,"['Shiba Inu: $SHIB and #Dogecoin consolidating!  Are you ready to buy the dip?  https://t.co/SUS0era4Zp', 'Mišo Debeljak: @ShibainuCoin No not buying SHIB no more just waiting to sell']",1430908395914072078
jllive2,2021-08-27 12:10:29+00:00,1431227617022152721,0,0,0,Twitter Web App,66648,8312,,0,en,@ShibaInuHodler got my millions of coins $shib #shibarmy #millionaireonedaysoon,"['SHIB HODLER: DO YOU BELIEVE $SHIB GOING TO REACH $0.01? 💰👀  YES          YES           YES  👇            👇              👇', 'jim loftus: @ShibaInuHodler got my millions of coins $shib #shibarmy #millionaireonedaysoon']",1430899472406437894
LucaSepe11,2021-08-26 20:05:39+00:00,1430984808432164867,2,0,0,Twitter for iPhone,876,76,,0,und,@ShibaInuHodler Yes! $SHIB,"['SHIB HODLER: DO YOU BELIEVE $SHIB GOING TO REACH $0.01? 💰👀  YES          YES           YES  👇            👇              👇', 'Luca Sepe: @ShibaInuHodler Yes! $SHIB']",1430899472406437894
engn_dmr,2021-08-26 21:57:27+00:00,1431012946273054728,0,1,0,Twitter Web App,4240,47,,0,en,@ShibaInuHodler @coinbase @eToro @RobinhoodApp i am sure of that others will also list Shib but just waiting for mega bullish seasin ;)),"['SHIB HODLER: 💥💥💥💥Day 69💥💥💥💥 @coinbase @eToro ✅ @RobinhoodApp 👊We Want $Shib Listing!!👊', 'Engin Demir: @ShibaInuHodler @coinbase @eToro @RobinhoodApp i am sure of that others will also list Shib but just waiting for mega bullish seasin ;))']",1430896835133022211
BluesKlue_,2021-08-27 13:39:06+00:00,1431249917788499972,0,0,0,Twitter for iPhone,2497,86,,0,en,@engn_dmr @ShibaInuHodler @coinbase @eToro @RobinhoodApp The bulls are running out of ammo for SHIB. It’s getting scary! Though what makes this day 69? 🤔,"['SHIB HODLER: 💥💥💥💥Day 69💥💥💥💥 @coinbase @eToro ✅ @RobinhoodApp 👊We Want $Shib Listing!!👊', 'Engin Demir: @ShibaInuHodler @coinbase @eToro @RobinhoodApp i am sure of that others will also list Shib but just waiting for mega bullish seasin ;))', 'BluesKlue🥃🦉: @engn_dmr @ShibaInuHodler @coinbase @eToro @RobinhoodApp The bulls are running out of ammo for SHIB. It’s getting scary! Though what makes this day 69? 🤔']",1430896835133022211
Muhammadd_Islam,2021-08-27 09:00:35+00:00,1431179828460281857,0,0,0,Twitter for Android,384,23,,0,en,@army_shiba History is not made in few days or month it take a time or years early success is a scam shib you forget about what people said about you just move on keep it 1 Cr for long term I believe in shiba inu🔥🔥🚀🚀,"[""$SHIB KNIGHT: $SHIB accumulating in red zone. I'm waiting for an upward breakout.  Let's see! 🔥🚀 https://t.co/q0oXpmLuNr"", 'Islam: @army_shiba History is not made in few days or month it take a time or years early success is a scam shib you forget about what people said about you just move on keep it 1 Cr for long term I believe in shiba inu🔥🔥🚀🚀']",1430892744361189382
Crytopzy,2021-08-27 08:26:45+00:00,1431171314560081922,0,0,0,Twitter for Android,251,4,,0,en,@army_shiba India about to role out new ways to infuse crypto to the economy 🤘 then see what magic happens to shib 😄,"[""$SHIB KNIGHT: $SHIB accumulating in red zone. I'm waiting for an upward breakout.  Let's see! 🔥🚀 https://t.co/q0oXpmLuNr"", 'Crypto Guy: @army_shiba India about to role out new ways to infuse crypto to the economy 🤘 then see what magic happens to shib 😄']",1430892744361189382
Gazmend76771193,2021-08-26 20:25:55+00:00,1430989907481309192,0,0,0,Twitter for Android,1855,9,,0,en,"@army_shiba To many Shib coins on circulation can't break the 0 to difficult is a shame such a good support from faithful Shib Army but the development is failing them  Bone,Leash,Ryosh etc etc they are not interested on Shib","[""$SHIB KNIGHT: $SHIB accumulating in red zone. I'm waiting for an upward breakout.  Let's see! 🔥🚀 https://t.co/q0oXpmLuNr"", ""Gazmend: @army_shiba To many Shib coins on circulation can't break the 0 to difficult is a shame such a good support from faithful Shib Army but the development is failing them  Bone,Leash,Ryosh etc etc they are not interested on Shib""]",1430892744361189382
Mehmet60949118,2021-08-26 14:06:20+00:00,1430894384216608786,0,0,0,Twitter for Android,2360,38,,0,en,"@army_shiba it's getting worse day by day, nothing good happens, it's a shame these people are always fake news #shiba #SHIB #ShibaCoin","[""$SHIB KNIGHT: $SHIB accumulating in red zone. I'm waiting for an upward breakout.  Let's see! 🔥🚀 https://t.co/q0oXpmLuNr"", ""imparator_34: @army_shiba it's getting worse day by day, nothing good happens, it's a shame these people are always fake news #shiba #SHIB #ShibaCoin""]",1430892744361189382
LeonardRoss,2021-08-27 02:05:54+00:00,1431075469294772226,0,0,0,Twitter for Android,13020,2023,,0,en,@ShibPlanet Me me me me! I want Son Goku Shib!,"[""SHIB Planet: Who else is excited for 10k $SHIB NFT's? 🚀🔥🦊 https://t.co/IksxanOG7U"", 'Ricky Ross 🪰: @ShibPlanet Me me me me! I want Son Goku Shib!']",1430874075560177670
TysonnPortsmou2,2021-08-26 13:17:31+00:00,1430882099947446279,1,0,0,Twitter for iPhone,294,12,,0,en,@ShibPlanet Checkout @SkipTheBeatz The Shib Collection it’s the best Shiba Inu NFT out only 1000 being made and already heaps have sold in the last week get in while you can 🚀🚀🚀🚀,"[""SHIB Planet: Who else is excited for 10k $SHIB NFT's? 🚀🔥🦊 https://t.co/IksxanOG7U"", 'Tysonn Portsmouth: @ShibPlanet Checkout @SkipTheBeatz The Shib Collection it’s the best Shiba Inu NFT out only 1000 being made and already heaps have sold in the last week get in while you can 🚀🚀🚀🚀']",1430874075560177670
MR_REFLECTIONS1,2021-08-26 12:51:10+00:00,1430875468685889545,1,0,0,Twitter Web App,13198,2139,,0,en,@ShibPlanet TO BE HONEST THIS MAY SOUND STUPID BUT I HAVE NO CLUE ABOUT HOW NFT'S WORK IF YOU HAVE ANY YOUTUBE VIDS YOU COULD RECOMMEND SO THAT I CAN LEARN THAT WOULD BE GREAT THE #SHIB ONES LOOK AWESOME,"[""SHIB Planet: Who else is excited for 10k $SHIB NFT's? 🚀🔥🦊 https://t.co/IksxanOG7U"", ""SAITA_BLESSINGS🐺SAITAMA SAITAREALTYDAO🏡🇬🇧: @ShibPlanet TO BE HONEST THIS MAY SOUND STUPID BUT I HAVE NO CLUE ABOUT HOW NFT'S WORK IF YOU HAVE ANY YOUTUBE VIDS YOU COULD RECOMMEND SO THAT I CAN LEARN THAT WOULD BE GREAT THE #SHIB ONES LOOK AWESOME""]",1430874075560177670
jimzrn,2021-08-27 19:51:13+00:00,1431343565129625608,0,0,0,Twitter for Android,1153,133,,0,en,@army_shiba HODL for 2 years and you will see the fruit of your patience.# shib,"['$SHIB KNIGHT: $SHIB is ready! 🔥🚀', 'Decentralized HODL: @army_shiba HODL for 2 years and you will see the fruit of your patience.# shib']",1430850055146283009
safakerturkk,2021-08-27 13:09:59+00:00,1431242589735370753,0,0,0,Twitter Web App,637,7,,0,en,@army_shiba Burn shib and reduce its amount then lets talk. Dont fool people...,"['$SHIB KNIGHT: $SHIB is ready! 🔥🚀', 'Şafak Ertürk: @army_shiba Burn shib and reduce its amount then lets talk. Dont fool people...']",1430850055146283009
KotaRam44018568,2021-08-26 23:55:52+00:00,1431042743149621252,0,0,0,Twitter for Android,73,9,,0,en,@army_shiba SHIB WHEN BURN?,"['$SHIB KNIGHT: $SHIB is ready! 🔥🚀', 'Kota Rama Krishna: @army_shiba SHIB WHEN BURN?']",1430850055146283009
James21245698,2021-09-09 23:19:05+00:00,1436106917496205313,0,0,0,Twitter for Android,46,1,,0,qme,@Crypto__emily $ADA $SHIB $DOGE,"[""Emily’s Universe 💎: I'm bullish on $XRP I'm bullish on $ETH I'm bullish on $BTC I'm bullish on $DOGE I'm bullish on $ADA I'm bullish on $LINK I'm bullish on $VET I'm bullish on $VRA I'm bullish on $FEG I’m bullish on $SHIB I’m bullish on $SOL  What #Crypto are you bullish on? Tell me 😉"", 'James: @Crypto__emily $ADA $SHIB $DOGE']",1430835830185205767
aabuzarghaffari,2021-08-27 09:00:50+00:00,1431179888048939008,0,0,0,Twitter for Android,1472,81,,0,en,@Crypto__emily $Shib to the moon 🚀,"[""Emily’s Universe 💎: I'm bullish on $XRP I'm bullish on $ETH I'm bullish on $BTC I'm bullish on $DOGE I'm bullish on $ADA I'm bullish on $LINK I'm bullish on $VET I'm bullish on $VRA I'm bullish on $FEG I’m bullish on $SHIB I’m bullish on $SOL  What #Crypto are you bullish on? Tell me 😉"", 'Abuzar Ghaffari (💙,🧡): @Crypto__emily $Shib to the moon 🚀']",1430835830185205767
linuxorus,2021-08-27 02:28:47+00:00,1431081228095139841,0,0,0,Twitter for iPhone,382,118,,0,en,"@Crypto__emily Doge and Shib, ADA","[""Emily’s Universe 💎: I'm bullish on $XRP I'm bullish on $ETH I'm bullish on $BTC I'm bullish on $DOGE I'm bullish on $ADA I'm bullish on $LINK I'm bullish on $VET I'm bullish on $VRA I'm bullish on $FEG I’m bullish on $SHIB I’m bullish on $SOL  What #Crypto are you bullish on? Tell me 😉"", 'Emon Lusk: @Crypto__emily Doge and Shib, ADA']",1430835830185205767
NixNox07,2021-08-27 00:12:43+00:00,1431046986455785477,0,0,0,Twitter for iPhone,5295,74,,0,en,"@Crypto__emily I’m Bullish on Safemoon, AMP, Doge, Matic, ADA, XRP, Solana, SHIB","[""Emily’s Universe 💎: I'm bullish on $XRP I'm bullish on $ETH I'm bullish on $BTC I'm bullish on $DOGE I'm bullish on $ADA I'm bullish on $LINK I'm bullish on $VET I'm bullish on $VRA I'm bullish on $FEG I’m bullish on $SHIB I’m bullish on $SOL  What #Crypto are you bullish on? Tell me 😉"", 'CryptoCody: @Crypto__emily I’m Bullish on Safemoon, AMP, Doge, Matic, ADA, XRP, Solana, SHIB']",1430835830185205767
mirzashanawaz91,2021-08-26 12:54:24+00:00,1430876281705431052,0,0,0,Twitter for Android,4982,182,,0,en,@SafemoonWarrior I love both. Welcome $shib,"['🔥SafeMoonWarrior: #SAFEMOON WALLET We’re being noticed by other crypto communities. +SHIB https://t.co/u4g9f8e32n', 'Beacon⚡: @SafemoonWarrior I love both. Welcome $shib']",1430835092528762883
